denominazione_regione,data,mean,median,mode,lower_90,upper_90,lower_50,upper_50
Piemonte,2020-08-10,1.203522891807322,1.2060888417046152,1.2149999999999999,1.2104402409967119,1.2146503601584762,1.1791976136553992,1.215172267195415
Piemonte,2020-08-11,1.1874051818954574,1.1879979484284418,1.1949999999999998,1.1979836691078054,1.2014750187702945,1.1688154073023342,1.207605595522078
Piemonte,2020-08-12,1.1743797570341383,1.1738908581909633,1.1649999999999998,1.161151688017099,1.1658788496176578,1.1554360853357701,1.1950114360301953
Piemonte,2020-08-13,1.1625089757418319,1.1649333636348875,1.1649999999999998,1.1648622192719427,1.1704719080103407,1.1511104011413118,1.1927434036676265
Piemonte,2020-08-14,1.1498924993953081,1.150160239041751,1.1749999999999998,1.1278685911454656,1.132801264408096,1.1131487061623004,1.1573310199481082
Piemonte,2020-08-15,1.1344073535119452,1.1301750579664251,1.125,1.118521771014209,1.1218024927691699,1.1106814576745978,1.1465978598399942
Piemonte,2020-08-16,1.1244494630098394,1.1233763558281509,1.105,1.116758095690813,1.1230502137043141,1.0964009610251337,1.1358642677833108
Piemonte,2020-08-17,1.1108616916791112,1.1088801098832204,1.085,1.1181549054764937,1.1230441284270571,1.0812168329651646,1.1207242358214513
Piemonte,2020-08-18,1.0981359501361005,1.0971655315150928,1.095,1.0994527621525667,1.1045921528792364,1.0734226356421288,1.1130165483246905
Piemonte,2020-08-19,1.088061206974533,1.0869813351536375,1.085,1.0837710270684289,1.0876854907091873,1.0661341926961445,1.1000243833503691
Piemonte,2020-08-20,1.0764705153401914,1.0768039042917548,1.075,1.089349694874743,1.0947336401814816,1.066285491029979,1.105244917647568
Piemonte,2020-08-21,1.0672308631601664,1.0668451344565473,1.085,1.0843191353107207,1.0893542803437664,1.05148890661015,1.0893542803437664
Piemonte,2020-08-22,1.0628294026385594,1.0631009352435317,1.055,1.0547423431406187,1.0605813548086058,1.055855191524964,1.0935851558386267
Piemonte,2020-08-23,1.0588163142473008,1.0595669501437848,1.055,1.0632624032934246,1.0682244918403627,1.0363763174316507,1.0718225159755614
Piemonte,2020-08-24,1.055818027964583,1.0583934197439198,1.065,1.0569086155833989,1.0615839330739747,1.0423264695819623,1.080687861585005
Piemonte,2020-08-25,1.0524955147814274,1.0542838013822478,1.045,1.0605793458224568,1.0642171583764137,1.0285905097609738,1.0642171583764137
